ANO DO EXAME DE SUPLENCIA;NÚMERO;NOME;CPF;PORTUGUÊS;REDAÇÃO;MÉDIA LING;INGLÊS;ARTE;ED. FÍSICA;HISTÓRIA;GEOGRAFIA;MATEMÁTICA;CIÊNCIAS;OBSERVAÇÃO;STATUS;MATERIAS APROVADAS
2023;1;JOSIANE MENDONÇA BARROS;56717032200;10;8;;9;7;9;7;7;7;7;CONCLUINTE;;
2023;2;KAWAN GOMES DA SILVA;56717032201;3;0;;4;8;2;4;2;2;3;Aprovado parcialmente;;
2023;3;VALERIA BEZERRA DOS SANTOS;56717032202;6;8;;9;7;3;6;5;6;7;Aprovado parcialmente;;
2023;4;KAROLINA EMILY RODRIGUES DA SILVA;56717032203;7;7;;7;4;4;4;0;2;5;Aprovado parcialmente;;
2023;5;FRANCISCA ROCHA;56717032204;3;6;;6;5;5;4;4;2;7;Aprovado parcialmente;;
2023;6;LUCIANE OLIVEIRA ARAUJO;56717032205;7;7,5;;4;3;4;1;3;3;1;Aprovado parcialmente;;
2023;7;PAULO HENRIQUE FERNANDES FREIRE;56717032206;7;7;;9;8;6;6;6;5;8;Aprovado parcialmente;;
2023;8;WALLAS SILVA DE SOUSA;56717032207;9;6,5;;4;4;4;4;5;4;5;Aprovado parcialmente;;
2023;9;ANA CAROLINE MARTINS SILVA;56717032208;4;7;;4;3;6;7;1;6;4;Aprovado parcialmente;;
2023;10;JOSUÉ ALVES MIRANDA;56717032209;5;6;;6;9;5;5;3;3;5;Aprovado parcialmente;;
2023;11;GENRIQUE DE SOUSA FERREIRA;56717032210;8;7;;5;7;1;3;4;4;8;Aprovado parcialmente;;
2023;12;ANTONIA MARCIA DOS SANTOS PEREIRA;56717032211;10;7;;7;8;9;8;8;7;7;Aprovado parcialmente;;
2023;13;ERLENE DOS SANTOS;56717032212;8;8;;9;7;8;7;7;7;7;Aprovado parcialmente;;
2023;14;TAYNARA DE CARVALHO PEREIRA;56717032213;8;9;;8;3;8;5;7;6;5;Aprovado parcialmente;;
2023;15;RAIMUNDA DE ALMEIDA DA CONCEIÇÃO;56717032214;10;7;;7;7;7;7;7;7;7;Aprovado parcialmente;;
2023;16;KEILIANE MARTINS CORREA;56717032215;9;7,5;;7;6;7;5;7;4;5;Aprovado parcialmente;;
2023;17;CLEIDIANE MATOS COSTA;56717032216;7;9;;7;8;7;7;7;7;7;Aprovado parcialmente;;
2023;18;JOSENILDO DA SILVA DE SOUSA;56717032217;10;8;;9;7;7;7;7;7;8;Aprovado parcialmente;;
2023;19;LUANA DA SILVA CRUZ;56717032218;0;0;;0;7;6;4;5;3;6;Aprovado parcialmente;;
2023;20;ANTONIO TARGINO DE LIMA;56717032219;8;5;;9;7;9;2;3;5;5;Aprovado parcialmente;;
2023;21;MARIA APARECIDA DE OLIVEIRA;56717032220;9;6;;8;7;7;7;7;7;7;CONCLUINTE;;
2023;22;EDILSON CHAVES DA CRUZ;56717032221;9;5;;7;7;8;7;7;7;7;CONCLUINTE;;
2023;23;PAULO RICARDO LIMA ALVES;56717032222;5;6;;3;1;5;3;3;1;2;Reprovada;;
2023;24;MARCOS DE ATHAYDE DE SOUSA;56717032223;7;7,5;;7;7;7;7;7;8;7;CONCLUINTE;;
2023;25;UDIMILI VIEIRA DE SOUSA;56717032224;9;7;;8;7;6;4;4;7;4;Aprovado parcialmente;;
2023;26;KAUÊ DOS SANTOS SILVA;56717032225;7;7;;4;9;7;7;5;4;5;Aprovado parcialmente;;
2023;27;FELIPE LOPES BENICIO;56717032226;5;6;;6;9;5;6;3;2;6;Aprovado parcialmente;;
2023;28;EVELLYN BRITO COSTA;56717032227;4;6;;4;4;2;2;0;1;3;Reprovada;;
2023;30;JOALYSON SILVA PINHEIRO RODRIGUES;56717032228;10;8;;8;7;7;4;6;7;6;Aprovado parcialmente;;
2023;31;AMANDA MENDES BARBOSA;56717032229;5;3;;2;3;5;7;1;3;2;Aprovado parcialmente;;
2023;33;GUSTAVO KREFF MOURA;56717032230;9;8;;6;7;6;5;4;6;7;Aprovado parcialmente;;
2023;34;PAULO VITOR COSTA DOS SANTOS;56717032231;8;7;;8;5;7;9;7;3;7;Aprovado parcialmente;;
2023;35;MARCOS VINICIUS BRITO SILVA;56717032232;9;7,5;;6;6;3;0;2;6;3;Aprovado parcialmente;;
2023;36;ANDREY DOS SANTOS DIAS;56717032233;4;6;;6;7;7;2;2;4;3;Aprovado parcialmente;;
2023;37;JHONALD RENNAN RODRIGUES MACIEL;56717032234;10;8,5;;9;7;8;8;7;7;8;CONCLUINTE;;
2023;38;CARLEANE SILVA E SILVA;56717032235;10;8;;10;7;8;7;7;7;7;CONCLUINTE;;
2023;39;MITALA BRANDÃO SANTOS;56717032236;7;7,5;;5;6;6;4;1;5;4;Aprovado parcialmente;;
2023;41;EDINEI ALVES PIRES;56717032237;1;0;;6;7;8;3;6;4;6;Aprovado parcialmente;;
2023;42;LIOMAR FAUSTINO DE SOUSA;56717032238;5;6;;3;7;7;4;8;2;5;Aprovado parcialmente;;
2023;43;TATIANE LOPES CARDOSO;56717032239;7;8;;7;5;7;3;4;3;7;Aprovado parcialmente;;
2023;44;MARCOS HENRIQUE SANTANA SILVA;56717032240;7;7;;4;8;8;10;7;4;6;Aprovado parcialmente;;
2023;45;JOSIVAN NONATO;56717032241;8;6;;3;7;4;5;0;3;4;Aprovado parcialmente;;
2023;46;VINICIUS RYAN PEREIRA;56717032242;7;7;;6;8;6;2;1;4;6;Aprovado parcialmente;;
2023;47;CARLOS WENDELL CANDIDO NASCIMENTO;56717032243;7;7;;8;6;7;3;1;6;5;Aprovado parcialmente;;
2023;48;AMANDA MARTINS LEMOS;56717032244;9;7,5;;9;5;9;4;2;5;6;Aprovado parcialmente;;
2023;49;IRANILSON BARBOSA FEITOSA;56717032245;8;6;;7;7;5;2;7;7;8;Aprovado parcialmente;;
2023;50;THIAGO DA SILVA FIGUEREDO;56717032246;8;7;;7;4;3;4;4;2;3;Aprovado parcialmente;;
